scoring_method,dataset,top_k_acc,ms2scorer,k
Only-MS$^2$,EA_001,62.192529553476945,MetFrag,20
LC-MS$^2$Struct (2D),EA_001,72.4,MetFrag,20
LC-MS$^2$Struct (3D),EA_001,74.26666666666667,MetFrag,20
Only-MS$^2$,EA_002,49.82421219676945,MetFrag,20
LC-MS$^2$Struct (2D),EA_002,57.470588235294116,MetFrag,20
LC-MS$^2$Struct (3D),EA_002,57.80392156862745,MetFrag,20
Only-MS$^2$,EA_003,58.54905887530316,MetFrag,20
LC-MS$^2$Struct (2D),EA_003,67.10658622423328,MetFrag,20
LC-MS$^2$Struct (3D),EA_003,67.76018099547512,MetFrag,20
Only-MS$^2$,EQ_001,59.402568757941886,MetFrag,20
LC-MS$^2$Struct (2D),EQ_001,66.4,MetFrag,20
LC-MS$^2$Struct (3D),EQ_001,67.33333333333333,MetFrag,20
Only-MS$^2$,EQ_003,57.36969696969697,MetFrag,20
LC-MS$^2$Struct (2D),EQ_003,66.13333333333334,MetFrag,20
LC-MS$^2$Struct (3D),EQ_003,67.06666666666666,MetFrag,20
Only-MS$^2$,EQ_004,55.2,MetFrag,20
LC-MS$^2$Struct (2D),EQ_004,59.86666666666667,MetFrag,20
LC-MS$^2$Struct (3D),EQ_004,61.06666666666667,MetFrag,20
Only-MS$^2$,EQ_006,46.8,MetFrag,20
LC-MS$^2$Struct (2D),EQ_006,58.93333333333333,MetFrag,20
LC-MS$^2$Struct (3D),EQ_006,61.733333333333334,MetFrag,20
Only-MS$^2$,ET_002,32.599999999999994,MetFrag,20
LC-MS$^2$Struct (2D),ET_002,32.0,MetFrag,20
LC-MS$^2$Struct (3D),ET_002,34.0,MetFrag,20
Only-MS$^2$,KW_000,20.928381962864723,MetFrag,20
LC-MS$^2$Struct (2D),KW_000,38.18181818181819,MetFrag,20
LC-MS$^2$Struct (3D),KW_000,40.0,MetFrag,20
Only-MS$^2$,LQB_000,82.22225322607675,MetFrag,20
LC-MS$^2$Struct (2D),LQB_000,82.36325077782878,MetFrag,20
